2501	GENERAL - MISC.	
2501	HORSES	
2507	HORSES	
2518	CATTLE	
2528	HORSES	
2537	CATTLE	
2537	SWINE (PIGS)	
2557	CATTLE	
2557	GOATS	
2557	HORSES	
2557	POULTRY	
2557	SHEEP	
2557	SWINE (PIGS)	
2557	WILD/MISCELLANEOUS	
2564	HORSES	
2565	CATTLE	
2565	HORSES	
2565	SHEEP	
2565	SWINE (PIGS)	
25940	CATTLE	
26001	CATTLE	DAIRY CATTLE
26226	DOG OR CAT	
26273	DOGS	
2640	CATTLE	
2640	GOATS	
2640	HORSES	
2640	POULTRY	
2640	SHEEP	
2640	SWINE (PIGS)	
2640	WILD/MISCELLANEOUS	
2641	CATTLE	
2641	GOATS	
2641	HORSES	
2641	SHEEP	LAMB
2641	SWINE (PIGS)	
26467	DOG OR CAT	
26880	CATS	
26880	CATTLE	BEEF CATTLE
26880	CATTLE	DAIRY CATTLE
26880	DOGS	
26880	HORSES	
27044	CATTLE	
2710	CATS	
2710	DOGS	
2717	SWINE (PIGS)	
2720	CATTLE	
2720	HORSES	
2720	SHEEP	
2720	SWINE (PIGS)	
2725	DOG OR CAT	
275	GENERAL - MISC.	
2782	CATTLE	CALVES
2782	DOGS	
2782	HORSES	
2782	SHEEP	
2782	SWINE (PIGS)	
2783	CATS	
2783	CATTLE	
2783	DOGS	
2783	GOATS	
2783	HORSES	
2783	SHEEP	
2783	SWINE (PIGS)	
2794	DOG OR CAT	
2795	SWINE (PIGS)	
2801	CATS	
2801	DOGS	
2823	CATTLE	
2823	DOGS	
2823	HORSES	
2834	CATS	
2834	DOGS	
28346	HORSES	
2835	DOGS	
2841	CATTLE	
2841	HORSES	
2841	SHEEP	
2841	SWINE (PIGS)	
2848	CATTLE	
2848	POULTRY	
2848	SWINE (PIGS)	
2852	CATTLE	
2852	HORSES	
2852	SHEEP	
2852	SWINE (PIGS)	
2877	SWINE (PIGS)	PIGLETS
2878	SWINE (PIGS)	
2892	CATTLE	
2907	CATS	
2907	DOGS	
2916	CATTLE	BEEF CATTLE
2916	CATTLE	BULLS
2916	CATTLE	CALVES
2916	CATTLE	REPLACEMENT HEIFERS
2926	DOG OR CAT	
2937	CATTLE	
2937	POULTRY	
2938	SWINE (PIGS)	
2939	CATTLE	
2939	DOG OR CAT	
2939	HORSES	
2956	CATTLE	
2987	DOGS	
3017	CATS	
3017	CATTLE	
3017	DOGS	
3017	GOATS	
3017	HORSES	
3017	SHEEP	
3017	SWINE (PIGS)	
3018	CATTLE	
3018	DOG OR CAT	
3018	HORSES	
3019	DOG OR CAT	
3019	HORSES	
3034	HORSES	
3066	CATTLE	
3074	CATTLE	COWS-LACTATING
3074	GOATS	
3074	SHEEP	LAMB
3074	SWINE (PIGS)	
3083	DOG OR CAT	
3083	HORSES	
3094	CATTLE	
3094	HORSES	
3094	SHEEP	
3094	SWINE (PIGS)	
3127	CATTLE	
3127	SHEEP	
3127	SWINE (PIGS)	
3137	DOGS	
3137	HORSES	
3138	CATTLE	
3138	HORSES	
3138	POULTRY	
3138	SWINE (PIGS)	
3153	CATTLE	
3153	DOGS	
3153	HORSES	
3153	SHEEP	
3153	SWINE (PIGS)	
31653	CATS	
31653	DOGS	
31653	SWINE (PIGS)	
3269	CATS	
3269	DOGS	
3279	CATTLE	COWS-LACTATING
3295	CATTLE	CALVES
3296	CATTLE	
3296	DOG OR CAT	
3296	HORSES	
3296	POULTRY	
3296	SHEEP	LAMB
3296	SWINE (PIGS)	
